Country,Sector,Product CN Code,Description,Default Value (direct emissions),Default Value (Indirect emissions),Default Value (total emissions),2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up),Underlying production route determining CBAM BM
Algeria,Fertilisers,31059080,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)",0.67,0.05,0.72,0.727,0.727,0.727,
Algeria,Aluminium,7601,Unwrought aluminium,0.36,,0.36,0.396,0.432,0.468,(L)
Algeria,Aluminium,7603,Aluminium powders and flakes,0.92,,0.92,1.012,1.104,1.196,(L)
Algeria,Aluminium,76041010,Bars and rods,1.14,,1.14,1.254,1.368,1.482,(L)
Algeria,Aluminium,76041090,Profiles,1.16,,1.16,1.276,1.392,1.508,(L)
Algeria,Aluminium,76042100,Hollow profiles,1.16,,1.16,1.276,1.392,1.508,(L)
Algeria,Aluminium,76042910,Bars and rods,1.14,,1.14,1.254,1.368,1.482,(L)
Algeria,Aluminium,76042990,Profiles,1.16,,1.16,1.276,1.392,1.508,(L)
Algeria,Aluminium,7605,Aluminium wire,1.14,,1.14,1.254,1.368,1.482,(L)
Algeria,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",1.6,,1.6,1.76,1.92,2.08,(L)
Algeria,Aluminium,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm",1.6,,1.6,1.76,1.92,2.08,(L)
Algeria,Aluminium,7608,Aluminium tubes and pipes,1.16,,1.16,1.276,1.392,1.508,(L)
Algeria,Aluminium,76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",1.16,,1.16,1.276,1.392,1.508,(L)
Algeria,Aluminium,76101000,"Doors, windows and their frames and thresholds for doors",1.16,,1.16,1.276,1.392,1.508,(L)
Algeria,Aluminium,761090,Other,1.16,,1.16,1.276,1.392,1.508,(L)
Algeria,Aluminium,76109010,"Bridges and bridge-sections, towers and lattice masts",1.16,,1.16,1.276,1.392,1.508,(L)
Algeria,Aluminium,76109090,Other,1.16,,1.16,1.276,1.392,1.508,(L)
Algeria,Aluminium,76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",1.6,,1.6,1.76,1.92,2.08,(L)
Algeria,Aluminium,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",1.6,,1.6,1.76,1.92,2.08,(L)
Algeria,Aluminium,76130000,Aluminium containers for compressed or liquefied gas,1.6,,1.6,1.76,1.92,2.08,(L)
Algeria,Aluminium,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated",1.14,,1.14,1.254,1.368,1.482,(L)
Algeria,Aluminium,76161000,"Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles",1.6,,1.6,1.76,1.92,2.08,(L)
Algeria,Aluminium,76169100,"Cloth, grill, netting and fencing, of aluminium wire",1.6,,1.6,1.76,1.92,2.08,(L)
Algeria,Aluminium,76169910,Cast,0.92,,0.92,1.012,1.104,1.196,(L)
Algeria,Aluminium,76169990,Other,1.6,,1.6,1.76,1.92,2.08,(L)
Algeria,Hydrogen,28041000,Hydrogen,10.82,,10.82,11.902,12.984,14.066,
Algeria,Iron and steel,26011200,Agglomerated iron ores and concentrates (excl. roasted iron pyrites),0.18,0.03,0.21,0.231,0.252,0.273,
Algeria,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms",2.87,,2.87,3.157,3.444,3.731,
Algeria,Iron and steel,720211,"Ferro-manganese, containing by weight > 2% of carbon",,,,,,,
